Country,Total Exports Value ($US),Customs Import Value (Gen) ($US),Month,Year
Angola,"96,679,299","168,614,106",Oct,2016
Angola,"94,326,697","292,069,360",Nov,2016
Angola,"58,468,936","180,989,406",Dec,2016
Angola,"27,779,424","185,872,975",Jan,2017
Angola,"28,849,677","102,523,184",Feb,2017
Angola,"48,732,098","66,690,396",Mar,2017
Angola,"95,086,758","120,809,031",Apr,2017
Angola,"123,256,809","200,232,699",May,2017
Angola,"65,666,823","270,254,233",Jun,2017
Angola,"89,931,432","341,415,931",Jul,2017
Angola,"87,556,163","327,490,691",Aug,2017
Angola,"94,483,803","324,165,102",Sep,2017
Angola,"84,915,975","265,342,334",Oct,2017
Angola,"24,594,583","110,997,483",Nov,2017
Angola,"38,639,942","287,862,866",Dec,2017
Angola,"35,200,475","142,668,936",Jan,2018
Angola,"23,328,818","65,551,897",Feb,2018
Angola,"50,127,258","65,569,903",Mar,2018
Angola,"49,616,612","445,104,948",Apr,2018
Angola,"49,629,582","161,951,971",May,2018
Angola,"46,160,774","452,704,654",Jun,2018
Angola,"41,719,237","579,774,591",Jul,2018
Angola,"48,018,848","321,219,319",Aug,2018
Angola,"65,012,664","187,670,297",Sep,2018
Angola,"39,932,608","172,017,730",Oct,2018
Angola,"39,852,063","96,091,868",Nov,2018
Angola,"36,391,618","8,056,351",Dec,2018
Angola,"31,092,836","17,621,762",Jan,2019
Angola,"39,796,581","3,021,946",Feb,2019
Angola,"46,078,518","81,420,383",Mar,2019
Angola,"32,024,302","98,304,014",Apr,2019
Angola,"42,595,109","97,428,285",May,2019
Angola,"47,657,193","199,178,152",Jun,2019
Angola,"47,539,433","28,587,245",Jul,2019
Angola,"64,905,950","75,090,074",Aug,2019
Angola,"47,720,598","133,930,912",Sep,2019
Angola,"42,626,214","152,676,798",Oct,2019
Angola,"44,885,220","40,374,760",Nov,2019
Angola,"47,776,220","26,906,868",Dec,2019
Angola,"35,235,693","18,374,317",Jan,2020
Angola,"35,721,799","64,732,421",Feb,2020
Angola,"34,832,026","554,881",Mar,2020
Angola,"43,616,134","26,647,423",Apr,2020
Angola,"43,882,211","61,891,311",May,2020
Angola,"27,146,643","66,432,688",Jun,2020
Angola,"21,176,160","10,259,578",Jul,2020
Angola,"34,220,175","38,337,254",Aug,2020
Angola,"67,438,851","19,579,024",Sep,2020
Angola,"67,355,134","96,964,937",Oct,2020
Angola,"34,545,644","63,122,561",Nov,2020
Angola,"24,780,666","4,839,685",Dec,2020
Angola,"29,054,815","54,103,191",Jan,2021
Angola,"28,226,422","58,495,703",Feb,2021
Angola,"37,823,400","88,722,466",Mar,2021
Angola,"23,893,791","102,799,115",Apr,2021
Angola,"25,803,238","157,108,499",May,2021
Angola,"36,053,195","31,425,067",Jun,2021
Angola,"31,458,704","96,368,913",Jul,2021
Angola,"44,610,201","136,226,711",Aug,2021
Angola,"37,814,213","104,304,382",Sep,2021
Angola,"53,289,972","68,668,456",Oct,2021
Angola,"46,781,847","138,141,916",Nov,2021
Angola,"50,122,410","7,441,552",Dec,2021
Angola,"40,247,367","135,484,497",Jan,2022
Angola,"43,291,608","231,628,038",Feb,2022
Angola,"27,355,907","117,493,111",Mar,2022
Angola,"53,834,219","55,846,402",Apr,2022
Angola,"52,557,228","93,150,879",May,2022
Angola,"73,388,666","196,979,323",Jun,2022
Angola,"51,162,496","118,873,415",Jul,2022
Angola,"49,275,877","165,113,800",Aug,2022
Angola,"59,427,891","154,459,675",Sep,2022
Angola,"78,924,935","214,191,365",Oct,2022
Angola,"67,772,192","69,373,351",Nov,2022
Angola,"54,161,374","45,443,753",Dec,2022
Angola,"56,191,365","6,239,391",Jan,2023
Angola,"47,571,499","62,378,097",Feb,2023
Angola,"55,888,682","35,318,232",Mar,2023
Angola,"64,678,146","145,765,496",Apr,2023
Angola,"43,761,776","89,199,049",May,2023
Angola,"35,477,659","122,075,315",Jun,2023
Angola,"65,840,440","143,283,767",Jul,2023
Angola,"49,991,767","142,333,527",Aug,2023
Angola,"49,093,618","151,311,888",Sep,2023
Angola,"41,229,381","123,298,943",Oct,2023
Angola,"42,397,644","50,947,648",Nov,2023
Angola,"46,445,550","88,703,987",Dec,2023
Anguilla,"2,528,671","687,501",Jan,2015
Anguilla,"3,472,680","305,239",Feb,2015
Anguilla,"3,449,918","292,148",Mar,2015
Anguilla,"3,484,228","484,720",Apr,2015
Anguilla,"3,742,587","446,186",May,2015
Anguilla,"3,494,243","542,736",Jun,2015
Anguilla,"3,740,970","400,761",Jul,2015
Anguilla,"4,259,663","873,498",Aug,2015
Anguilla,"3,743,994","716,845",Sep,2015
Anguilla,"6,168,638","334,878",Oct,2015
Anguilla,"5,156,508","280,705",Nov,2015
Anguilla,"4,360,533","218,666",Dec,2015
Anguilla,"3,095,230","354,999",Jan,2016
Anguilla,"3,064,195","320,232",Feb,2016
Anguilla,"3,411,706","503,393",Mar,2016
Anguilla,"2,486,223","339,748",Apr,2016
Anguilla,"2,013,411","292,341",May,2016
Anguilla,"2,961,297","93,487",Jun,2016
Anguilla,"3,263,184","249,173",Jul,2016
Anguilla,"2,428,170","610,956",Aug,2016
Anguilla,"5,482,611","367,412",Sep,2016
Anguilla,"4,148,516","208,036",Oct,2016
Anguilla,"6,015,111","522,976",Nov,2016
Anguilla,"4,526,979","187,073",Dec,2016
Anguilla,"2,989,873","408,678",Jan,2017
Anguilla,"2,915,764","445,009",Feb,2017
Anguilla,"3,588,847","309,241",Mar,2017
Anguilla,"5,906,069","531,600",Apr,2017
Anguilla,"4,166,980","260,509",May,2017
Anguilla,"2,678,285","249,095",Jun,2017
Anguilla,"2,524,610","384,273",Jul,2017
Anguilla,"3,359,008","444,998",Aug,2017
Anguilla,"5,239,632","535,544",Sep,2017
Anguilla,"8,515,778","192,440",Oct,2017
Anguilla,"9,006,294","400,142",Nov,2017
Anguilla,"8,507,159","400,556",Dec,2017
