Commodity,flow,series_id
"312130 Wines, Brandy, And Brandy Spirits",import,348
31214 Distilled Liquors,export,349
31214 Distilled Liquors,import,350
312140 Distilled Liquors,export,351
312140 Distilled Liquors,import,352
3122 Tobacco Products,export,353
3122 Tobacco Products,import,354
31223 Tobacco Products,export,355
31223 Tobacco Products,import,356
312230 Tobacco Or Cigarette  Products,export,357
312230 Tobacco Or Cigarette  Products,import,358
313 Textiles & Fabrics,export,359
313 Textiles & Fabrics,import,360
"3131 Fibers, Yarns & Threads",export,361
"3131 Fibers, Yarns & Threads",import,362
"31311 Fibers, Yarns & Threads",export,363
"31311 Fibers, Yarns & Threads",import,364
"313110 Fibers, Yarns, & Threads",export,365
"313110 Fibers, Yarns, & Threads",import,366
3132 Fabrics,export,367
3132 Fabrics,import,368
31321 Broadwoven Fabrics,export,369
31321 Broadwoven Fabrics,import,370
313210 Broadwoven Fabrics,export,371
313210 Broadwoven Fabrics,import,372
31322 Narrow Fabrics,export,373
31322 Narrow Fabrics,import,374
313220 Narrow Fabrics & Schiffli Machine Embroidery,export,375
313220 Narrow Fabrics & Schiffli Machine Embroidery,import,376
31323 Nonwoven Fabrics,export,377
31323 Nonwoven Fabrics,import,378
313230 Nonwoven Fabrics,export,379
313230 Nonwoven Fabrics,import,380
31324 Knit Fabrics & Lace,export,381
31324 Knit Fabrics & Lace,import,382
313240 Knit Fabrics,export,383
313240 Knit Fabrics,import,384
3133 Finished & Coated Textile Fabrics,export,385
3133 Finished & Coated Textile Fabrics,import,386
31332 Coated Fabrics,export,387
31332 Coated Fabrics,import,388
313320 Coated Fabrics,export,389
313320 Coated Fabrics,import,390
314 Textile Mill Products,export,391
314 Textile Mill Products,import,392
3141 Textile Furnishings,export,393
3141 Textile Furnishings,import,394
31411 Carpets & Rugs,export,395
31411 Carpets & Rugs,import,396
314110 Carpets & Rugs,export,397
314110 Carpets & Rugs,import,398
31412 Curtains & Linens,export,399
31412 Curtains & Linens,import,400
314120 Curtains And Linens,export,401
314120 Curtains And Linens,import,402
3149 Other Textile Products,export,403
3149 Other Textile Products,import,404
31491 Textile Bags & Canvas,export,405
31491 Textile Bags & Canvas,import,406
314910 Textile Bags & Canvas,export,407
314910 Textile Bags & Canvas,import,408
31499 All Other Textile Products,export,409
31499 All Other Textile Products,import,410
"314994 Rope, Cordage, Twine, Tire Cord, & Tire Fabric",export,411
"314994 Rope, Cordage, Twine, Tire Cord, & Tire Fabric",import,412
314999 All Other Miscellaneous Textile Products,export,413
314999 All Other Miscellaneous Textile Products,import,414
315 Apparel & Accessories,export,415
315 Apparel & Accessories,import,416
3151 Knit Apparel,export,417
3151 Knit Apparel,import,418
3152 Apparel,export,419
3152 Apparel,import,420
3159 Apparel Accessories,export,421
3159 Apparel Accessories,import,422
31599 Apparel Accessories,export,423
31599 Apparel Accessories,import,424
315990 Apparel Accessories & Other Apparel,export,425
315990 Apparel Accessories & Other Apparel,import,426
316 Leather & Allied Products,export,427
316 Leather & Allied Products,import,428
3161 Leather & Hide Tanning,export,429
3161 Leather & Hide Tanning,import,430
31611 Leather & Hide Tanning,export,431
31611 Leather & Hide Tanning,import,432
316110 Leather & Hide Tanning,export,433
316110 Leather & Hide Tanning,import,434
3162 Footwear,export,435
3162 Footwear,import,436
31621 Footwear,export,437
31621 Footwear,import,438
316210 Footwear,export,439
316210 Footwear,import,440
3169 Other Leather Products,export,441
3169 Other Leather Products,import,442
31699 Other Leather Products,export,443
31699 Other Leather Products,import,444
321 Wood Products,export,445
321 Wood Products,import,446
3211 Sawmill & Wood Products,export,447
3211 Sawmill & Wood Products,import,448
32111 Sawmill & Wood Products,export,449
32111 Sawmill & Wood Products,import,450
321113 Sawmill Products,export,451
321113 Sawmill Products,import,452
"321114 Treated Wood Products, Nesoi",export,453
"321114 Treated Wood Products, Nesoi",import,454
"3212 Veneer, Plywood & Engineered Wood Products",export,455
"3212 Veneer, Plywood & Engineered Wood Products",import,456
"32121 Veneer, Plywood & Engineered Wood Products",export,457
"32121 Veneer, Plywood & Engineered Wood Products",import,458
321211 Hardwood Veneer & Plywood,export,459
321211 Hardwood Veneer & Plywood,import,460
321212 Softwood Veneer & Plywood,export,461
321212 Softwood Veneer & Plywood,import,462
321219 Reconstituted Wood Products,export,463
321219 Reconstituted Wood Products,import,464
3219 Other Wood Products,export,465
3219 Other Wood Products,import,466
32191 Millwork,export,467
32191 Millwork,import,468
321911 Wood Windows & Doors,export,469
321911 Wood Windows & Doors,import,470
321918 Other Millwork (including Flooring),export,471
321918 Other Millwork (including Flooring),import,472
32192 Wood Containers & Pallets,export,473
32192 Wood Containers & Pallets,import,474
321920 Wood Containers & Pallets,export,475
321920 Wood Containers & Pallets,import,476
32199 All Other Wood Products,export,477
32199 All Other Wood Products,import,478
321992 Prefabricated Wood Buildings,export,479
321992 Prefabricated Wood Buildings,import,480
321999 Miscellaneous Wood Products,export,481
321999 Miscellaneous Wood Products,import,482
322 Paper,export,483
322 Paper,import,484
"3221 Pulp, Paper & Paperboard Mill Products",export,485
"3221 Pulp, Paper & Paperboard Mill Products",import,486
32211 Pulp Mill Products,export,487
32211 Pulp Mill Products,import,488
322110 Pulp Mill Products,export,489
322110 Pulp Mill Products,import,490
32212 Paper Mill Products,export,491
32212 Paper Mill Products,import,492
32213 Paperboard Mill Products,export,493
32213 Paperboard Mill Products,import,494
322130 Paperboard Mill Products,export,495
322130 Paperboard Mill Products,import,496
3222 Converted Paper Products,export,497
3222 Converted Paper Products,import,498
32221 Paperboard Containers,export,499
32221 Paperboard Containers,import,500
