Commodity,flow,mu,sd
"311511 Fluid Milk, Cream & Related Products",import,16.028585232412738,0.5465933197739283
311512 Creamery Butter,export,16.281484910523783,0.4641020221035828
311512 Creamery Butter,import,17.075128792071155,0.45371285395977756
311513 Cheese,export,18.72307155836694,0.22226760590776448
311513 Cheese,import,18.535405896256552,0.19694154077488257
"311514 Dry, Condensed, And Evaporated Dairy Products",export,19.666610358025157,0.25094304033674786
"311514 Dry, Condensed, And Evaporated Dairy Products",import,18.68052434837784,0.3134479776777332
31152 Ice Cream & Frozen Desserts,export,16.786701383328925,0.20753194158855923
31152 Ice Cream & Frozen Desserts,import,16.041548572375447,0.7625730052843346
311520 Ice Cream & Frozen Desserts,export,16.786701383328925,0.20753194158855923
311520 Ice Cream & Frozen Desserts,import,16.041548572375447,0.7625730052843346
3116 Meat Products & Meat Packaging Products,export,21.390709301070814,0.1604636687057215
3116 Meat Products & Meat Packaging Products,import,20.748028651885708,0.24634074471566297
31161 Meat Products & Meat Packaging Products,export,21.390709301070814,0.1604636687057215
31161 Meat Products & Meat Packaging Products,import,20.748028651885708,0.24634074471566297
311611 Meat Products (exc Poultry),export,21.09429512411087,0.154777840751137
311611 Meat Products (exc Poultry),import,20.587869790081932,0.20477655133922218
"311613 Animal Fats, Oils & By-products",export,18.539309512347337,0.2959015878714617
"311613 Animal Fats, Oils & By-products",import,18.19464019442997,0.675817172023264
"311615 Poultry, Prepared Or Preserved",export,19.760821191475152,0.16488410476254037
"311615 Poultry, Prepared Or Preserved",import,17.74243198728056,0.27491444424881945
"3117 Seafood Prods, Prepared, Canned & Packaged",export,17.114581610255925,0.4097793739181058
"3117 Seafood Prods, Prepared, Canned & Packaged",import,19.434174005903476,0.22844605243916097
"31171 Seafood Prods, Prepared, Canned & Packaged",export,17.114581610255925,0.4097793739181058
"31171 Seafood Prods, Prepared, Canned & Packaged",import,19.434174005903476,0.22844605243916097
"311710 Seafood Prods, Prepared, Canned & Packaged",export,17.114581610255925,0.4097793739181058
"311710 Seafood Prods, Prepared, Canned & Packaged",import,19.434174005903476,0.22844605243916097
3118 Bakery & Tortilla Products,export,19.069305959924993,0.13887379565211153
3118 Bakery & Tortilla Products,import,20.130623662730084,0.30440280711534556
31181 Bread & Bakery Products,export,18.736215073098517,0.14760241638086674
31181 Bread & Bakery Products,import,19.96368617190907,0.333951145529519
31181X Bread & Bakery Products,export,18.736215073098517,0.14760241638086674
31181X Bread & Bakery Products,import,19.96368617190907,0.333951145529519
"31182 Flour Mixes, Dough & Pasta",export,17.8057802989004,0.13234484106494784
"31182 Flour Mixes, Dough & Pasta",import,18.237834031189454,0.1679498182823441
"311824 Dry Pasta, Dough, And Flour Mixes From Purch Flour",export,17.8057802989004,0.13234484106494784
"311824 Dry Pasta, Dough, And Flour Mixes From Purch Flour",import,18.237834031189454,0.1679498182823441
"3119 Foods, Nesoi",export,20.599225269265553,0.10351133454606258
"3119 Foods, Nesoi",import,20.75518884786518,0.2957988666775599
31191 Snack Foods,export,18.661363599997895,0.18063542163430113
31191 Snack Foods,import,18.26530235363261,0.28066180714586353
311911 Roasted Nuts & Peanut Butter,export,18.16628108105328,0.2449075847895582
311911 Roasted Nuts & Peanut Butter,import,17.634135290945444,0.1851382182515059
311919 Other Snack Foods,export,17.708047263760562,0.10800529342266592
311919 Other Snack Foods,import,17.484901791320304,0.4109599477995004
31192 Coffee & Tea,export,18.523309237292047,0.10107268791826446
31192 Coffee & Tea,import,19.287335242271325,0.2340949866977422
311920 Coffee & Tea,export,18.523309237292047,0.10107268791826446
311920 Coffee & Tea,import,19.287335242271325,0.2340949866977422
31193 Flavoring Extracts & Syrups,export,17.12295447324544,0.2607376560784653
31193 Flavoring Extracts & Syrups,import,18.347148868231407,1.5086339632904615
311930 Flavoring Extracts & Syrups,export,17.12295447324544,0.2607376560784653
311930 Flavoring Extracts & Syrups,import,18.347148868231407,1.5086339632904615
